CSD Code,Census subdivision (CSD) name,2011 Income Score,2011 Education Score,2011 Housing Score,2011 Labour Force Activity Score,2011 CWB Score,2011 Global Non-Response,Province,Type of Collectivity,2011 NHS Population
1003033,Burnt Islands,81,31,99,65,69,20%,Newfoundland and Labrador,Non-Aboriginal,685
1003034,Channel-Port aux Basques,79,39,97,74,72,34%,Newfoundland and Labrador,Non-Aboriginal,4100
1003038,"Division No.  3, Subd. I",,,,,68,12%,Newfoundland and Labrador,Non-Aboriginal,80
1003042,"Division No.  3, Subd. J",72,33,91,67,66,18%,Newfoundland and Labrador,Non-Aboriginal,390
1003045,Rose Blanche-Harbour le Cou,,,,,60,33%,Newfoundland and Labrador,Non-Aboriginal,100
1003801,Samiajij Miawpukek,68,51,95,79,73,3%,Newfoundland and Labrador,First Nation,920
1004001,"Division No.  4, Subd. A",81,39,95,67,70,41%,Newfoundland and Labrador,Non-Aboriginal,1795
1004011,"Division No.  4, Subd. C",69,32,90,55,61,42%,Newfoundland and Labrador,Non-Aboriginal,725
1004013,St. George's,78,50,94,64,72,30%,Newfoundland and Labrador,Non-Aboriginal,1205
1004016,"Division No.  4, Subd. D",80,45,91,76,73,46%,Newfoundland and Labrador,Non-Aboriginal,830
1004018,Stephenville Crossing,73,42,94,62,68,48%,Newfoundland and Labrador,Non-Aboriginal,1825
1004019,Stephenville,80,54,94,74,76,22%,Newfoundland and Labrador,Non-Aboriginal,6615
1004020,Kippens,89,65,98,81,83,36%,Newfoundland and Labrador,Non-Aboriginal,1760
1004021,Port au Port East,75,59,94,65,73,47%,Newfoundland and Labrador,Non-Aboriginal,600
1004022,"Division No.  4, Subd. E",68,36,90,62,64,25%,Newfoundland and Labrador,Non-Aboriginal,1940
1004033,Cape St. George,69,34,95,63,65,33%,Newfoundland and Labrador,Non-Aboriginal,945
1004037,Lourdes,69,37,91,60,64,36%,Newfoundland and Labrador,Non-Aboriginal,560
1005003,"Division No.  5, Subd. G",73,31,93,70,67,43%,Newfoundland and Labrador,Non-Aboriginal,470
1005004,Deer Lake,84,55,96,76,78,47%,Newfoundland and Labrador,Non-Aboriginal,4920
1005005,Jackson's Arm,71,39,95,77,70,24%,Newfoundland and Labrador,Non-Aboriginal,320
1005007,"Division No.  5, Subd. E",,,,,70,0%,Newfoundland and Labrador,Non-Aboriginal,180
1005008,Hampden,76,32,91,56,64,23%,Newfoundland and Labrador,Non-Aboriginal,440
1005011,Steady Brook,,,,,90,46%,Newfoundland and Labrador,Non-Aboriginal,370
1005012,Pasadena,89,62,97,76,81,38%,Newfoundland and Labrador,Non-Aboriginal,3350
1005014,Cormack,73,49,97,73,73,46%,Newfoundland and Labrador,Non-Aboriginal,695
1005015,Gillams,,,,,77,37%,Newfoundland and Labrador,Non-Aboriginal,405
1005017,Massey Drive,,,,,86,48%,Newfoundland and Labrador,Non-Aboriginal,1360
1005018,Corner Brook,84,58,94,80,79,29%,Newfoundland and Labrador,Non-Aboriginal,19505
1005022,McIvers,77,40,94,77,72,37%,Newfoundland and Labrador,Non-Aboriginal,545
1005023,Cox's Cove,70,26,95,52,61,45%,Newfoundland and Labrador,Non-Aboriginal,660
1005024,Lark Harbour,75,37,95,74,70,23%,Newfoundland and Labrador,Non-Aboriginal,500
1005025,Meadows,76,58,92,74,75,50%,Newfoundland and Labrador,Non-Aboriginal,535
1005030,Irishtown-Summerside,83,54,96,80,78,46%,Newfoundland and Labrador,Non-Aboriginal,1430
1006003,Norris Arm,77,37,94,65,68,49%,Newfoundland and Labrador,Non-Aboriginal,935
1006009,Gander,90,61,97,87,84,23%,Newfoundland and Labrador,Non-Aboriginal,10810
1006011,Appleton,83,52,87,70,73,42%,Newfoundland and Labrador,Non-Aboriginal,625
1006012,Glenwood,81,51,89,76,74,42%,Newfoundland and Labrador,Non-Aboriginal,715
1006017,Grand Falls-Windsor,84,55,95,79,78,24%,Newfoundland and Labrador,Non-Aboriginal,13485
1006019,Bishop's Falls,78,47,95,69,72,35%,Newfoundland and Labrador,Non-Aboriginal,3370
1006026,Badger,78,49,89,79,74,45%,Newfoundland and Labrador,Non-Aboriginal,560
1006031,Buchans,80,50,98,65,74,30%,Newfoundland and Labrador,Non-Aboriginal,695
1007006,"Division No.  7, Subd. L",76,38,93,77,71,29%,Newfoundland and Labrador,Non-Aboriginal,1270
1007009,"Division No.  7, Subd. K",76,42,96,78,73,48%,Newfoundland and Labrador,Non-Aboriginal,1330
1007013,Clarenville,86,56,95,81,80,33%,Newfoundland and Labrador,Non-Aboriginal,5895
1007018,"Division No.  7, Subd. I",,,,,69,21%,Newfoundland and Labrador,Non-Aboriginal,65
1007024,"Division No.  7, Subd. G",69,38,92,55,64,39%,Newfoundland and Labrador,Non-Aboriginal,400
1007028,"Division No.  7, Subd. F",67,31,97,69,66,49%,Newfoundland and Labrador,Non-Aboriginal,960
1007032,Musgravetown,78,34,98,74,71,40%,Newfoundland and Labrador,Non-Aboriginal,550
1007036,Port Blandford,,,,,72,44%,Newfoundland and Labrador,Non-Aboriginal,485
1007038,"Division No.  7, Subd. D",,,,,74,43%,Newfoundland and Labrador,Non-Aboriginal,155
1007039,Savage Cove-Sandy Cove,,,,,69,33%,Newfoundland and Labrador,Non-Aboriginal,120
1007041,Happy Adventure,,,,,79,28%,Newfoundland and Labrador,Non-Aboriginal,215
1007042,Eastport,74,45,96,63,70,33%,Newfoundland and Labrador,Non-Aboriginal,475
1007043,Sandringham,,,,,68,47%,Newfoundland and Labrador,Non-Aboriginal,275
1007046,Salvage,,,,,66,16%,Newfoundland and Labrador,Non-Aboriginal,140
1007047,Gambo,78,53,92,69,73,32%,Newfoundland and Labrador,Non-Aboriginal,1900
1007048,St. Brendan's,,,,,78,42%,Newfoundland and Labrador,Non-Aboriginal,70
1007049,Hare Bay,69,31,97,60,64,43%,Newfoundland and Labrador,Non-Aboriginal,1130
1007050,Centreville-Wareham-Trinity,77,37,97,64,69,14%,Newfoundland and Labrador,Non-Aboriginal,1145
1007054,Greenspond,,,,,74,28%,Newfoundland and Labrador,Non-Aboriginal,305
1007056,"Division No.  7, Subd. A",,,,,66,0%,Newfoundland and Labrador,Non-Aboriginal,100
1007057,Dover,69,29,94,61,63,14%,Newfoundland and Labrador,Non-Aboriginal,675
1007060,New-Wes-Valley,83,45,96,80,76,29%,Newfoundland and Labrador,Non-Aboriginal,2270
1007067,Indian Bay,,,,,63,26%,Newfoundland and Labrador,Non-Aboriginal,175
1008001,"Division No.  8, Subd. M",,,,,65,34%,Newfoundland and Labrador,Non-Aboriginal,165
1008004,Lumsden,,,,,74,10%,Newfoundland and Labrador,Non-Aboriginal,520
1008006,Musgrave Harbour,74,44,97,73,72,32%,Newfoundland and Labrador,Non-Aboriginal,1020
1008008,"Division No.  8, Subd. L",74,31,97,64,66,34%,Newfoundland and Labrador,Non-Aboriginal,3115
1008011,Carmanville,73,34,94,65,67,28%,Newfoundland and Labrador,Non-Aboriginal,745
1008020,Fogo Island Region (Part),,,,,74,41%,Newfoundland and Labrador,Non-Aboriginal,445
1008021,Fogo,75,38,96,76,71,36%,Newfoundland and Labrador,Non-Aboriginal,630
1008022,Joe Batt's Arm-Barr'd Islands-Shoal Bay,77,35,94,74,70,26%,Newfoundland and Labrador,Non-Aboriginal,680
1008023,Tilting,,,,,74,13%,Newfoundland and Labrador,Non-Aboriginal,215
1008025,Seldom-Little Seldom,80,38,98,75,73,33%,Newfoundland and Labrador,Non-Aboriginal,425
1008026,"Division No.  8, Subd. I",,,,,72,44%,Newfoundland and Labrador,Non-Aboriginal,125
1008029,Crow Head,,,,,69,20%,Newfoundland and Labrador,Non-Aboriginal,100
1008031,"Division No.  8, Subd. H",70,29,92,72,66,38%,Newfoundland and Labrador,Non-Aboriginal,2045
1008033,Summerford,77,42,94,73,71,49%,Newfoundland and Labrador,Non-Aboriginal,840
1008037,Campbellton,80,43,96,82,75,44%,Newfoundland and Labrador,Non-Aboriginal,295
1008040,Baytona,,,,,66,9%,Newfoundland and Labrador,Non-Aboriginal,160
1008042,"Division No.  8, Subd. F",80,43,97,75,74,43%,Newfoundland and Labrador,Non-Aboriginal,860
1008043,Embree,70,40,88,67,66,49%,Newfoundland and Labrador,Non-Aboriginal,650
1008044,Lewisporte,81,48,97,75,75,38%,Newfoundland and Labrador,Non-Aboriginal,3330
1008045,Little Burnt Bay,,,,,67,41%,Newfoundland and Labrador,Non-Aboriginal,295
1008046,"Division No.  8, Subd. E",72,33,89,54,62,38%,Newfoundland and Labrador,Non-Aboriginal,565
1008047,Point of Bay,,,,,63,34%,Newfoundland and Labrador,Non-Aboriginal,160
1008048,Leading Tickles,70,23,95,65,63,22%,Newfoundland and Labrador,Non-Aboriginal,325
1008056,Lushes Bight-Beaumont-Beaumont North,,,,,65,45%,Newfoundland and Labrador,Non-Aboriginal,120
1008061,Springdale,81,43,98,76,75,31%,Newfoundland and Labrador,Non-Aboriginal,2750
1008062,Port Anson,,,,,56,44%,Newfoundland and Labrador,Non-Aboriginal,165
1008065,"Division No.  8, Subd. P",73,33,89,66,65,40%,Newfoundland and Labrador,Non-Aboriginal,340
1008067,"Division No.  8, Subd. O",,,,,73,48%,Newfoundland and Labrador,Non-Aboriginal,345
1008069,King's Point,81,38,87,68,68,36%,Newfoundland and Labrador,Non-Aboriginal,675
1008070,Nippers Harbour,,,,,71,39%,Newfoundland and Labrador,Non-Aboriginal,85
1008072,Middle Arm,75,42,95,78,73,50%,Newfoundland and Labrador,Non-Aboriginal,395
1008074,"Division No.  8, Subd. A",,,,,66,43%,Newfoundland and Labrador,Non-Aboriginal,355
1008075,Fleur de Lys,80,29,97,77,71,47%,Newfoundland and Labrador,Non-Aboriginal,260
1008077,Brent's Cove,,,,,68,25%,Newfoundland and Labrador,Non-Aboriginal,180
1008079,Baie Verte,80,50,97,83,77,47%,Newfoundland and Labrador,Non-Aboriginal,1370
1008091,Seal Cove (White Bay),71,21,97,62,63,45%,Newfoundland and Labrador,Non-Aboriginal,305
1008093,Westport,,,,,66,22%,Newfoundland and Labrador,Non-Aboriginal,240
1008095,Ming's Bight,,,,,72,21%,Newfoundland and Labrador,Non-Aboriginal,215
1008096,Woodstock,,,,,62,32%,Newfoundland and Labrador,Non-Aboriginal,140
1008098,Miles Cove,,,,,74,49%,Newfoundland and Labrador,Non-Aboriginal,175
1009004,Englee,74,37,90,74,69,46%,Newfoundland and Labrador,Non-Aboriginal,585
1009008,Conche,,,,,72,10%,Newfoundland and Labrador,Non-Aboriginal,95
1009010,Trout River,74,39,88,65,66,40%,Newfoundland and Labrador,Non-Aboriginal,590
1009012,Norris Point,72,42,97,62,68,36%,Newfoundland and Labrador,Non-Aboriginal,755
1009013,Rocky Harbour,81,45,94,74,73,44%,Newfoundland and Labrador,Non-Aboriginal,955
1009015,Daniel's Harbour,90,51,90,77,77,40%,Newfoundland and Labrador,Non-Aboriginal,265
1009016,Cow Head,79,48,93,63,71,36%,Newfoundland and Labrador,Non-Aboriginal,475
1009017,Parson's Pond,75,36,95,61,67,36%,Newfoundland and Labrador,Non-Aboriginal,475
1009018,Hawke's Bay,75,39,88,70,68,34%,Newfoundland and Labrador,Non-Aboriginal,335
1009019,Port Saunders,79,39,99,78,74,32%,Newfoundland and Labrador,Non-Aboriginal,650
1009020,St. Pauls,73,34,91,68,66,35%,Newfoundland and Labrador,Non-Aboriginal,290
1009021,"Division No.  9, Subd. C",82,39,96,72,72,48%,Newfoundland and Labrador,Non-Aboriginal,2735
1009022,Port au Choix,80,37,97,74,72,47%,Newfoundland and Labrador,Non-Aboriginal,740
1009026,Bird Cove,,,,,73,16%,Newfoundland and Labrador,Non-Aboriginal,185
1009029,St. Anthony,88,58,98,81,81,43%,Newfoundland and Labrador,Non-Aboriginal,2375
1009030,Glenburnie-Birchy Head-Shoal Brook,,,,,67,38%,Newfoundland and Labrador,Non-Aboriginal,260
1009035,Raleigh,,,,,65,33%,Newfoundland and Labrador,Non-Aboriginal,120
1009039,Goose Cove East,,,,,84,23%,Newfoundland and Labrador,Non-Aboriginal,135
1009048,River of Ponds,,,,,67,25%,Newfoundland and Labrador,Non-Aboriginal,230
1010003,Red Bay,,,,,73,30%,Newfoundland and Labrador,Non-Aboriginal,100
1010004,L'Anse-au-Clair,,,,,77,25%,Newfoundland and Labrador,Non-Aboriginal,190
1010005,Forteau,83,33,98,75,72,43%,Newfoundland and Labrador,Non-Aboriginal,405
1010007,Pinware,,,,,66,30%,Newfoundland and Labrador,Non-Aboriginal,80
1010008,"Division No. 10, Subd. B",72,32,86,51,60,30%,Newfoundland and Labrador,Non-Aboriginal,365
1010009,Port Hope Simpson,77,40,90,66,68,20%,Newfoundland and Labrador,Non-Aboriginal,425
1010010,St. Lewis,,,,,68,9%,Newfoundland and Labrador,Non-Aboriginal,205
1010011,Mary's Harbour,80,37,93,61,68,15%,Newfoundland and Labrador,Non-Aboriginal,365
1010012,"Cartwright, Labrador",77,38,83,64,66,8%,Newfoundland and Labrador,Non-Aboriginal,515
1010013,Charlottetown (Labrador),80,51,89,54,68,27%,Newfoundland and Labrador,Non-Aboriginal,310
1010022,North West River,89,60,88,85,80,29%,Newfoundland and Labrador,Non-Aboriginal,550
1010025,Happy Valley-Goose Bay,92,60,97,88,84,37%,Newfoundland and Labrador,Non-Aboriginal,7455
1010032,Labrador City,100,62,95,89,86,35%,Newfoundland and Labrador,Non-Aboriginal,7345
1010801,Natuashish  2,64,22,70,78,58,3%,Newfoundland and Labrador,First Nation,940
1010802,Sheshatshiu 3,61,20,67,69,54,21%,Newfoundland and Labrador,First Nation,1300
1011010,Rigolet,75,44,88,70,69,9%,Newfoundland and Labrador,Inuit,305
1011015,Postville,,,,,70,8%,Newfoundland and Labrador,Inuit,205
1011020,Makkovik,81,45,87,72,71,24%,Newfoundland and Labrador,Inuit,365
1011030,Hopedale,74,39,74,69,64,13%,Newfoundland and Labrador,Inuit,555
1011035,Nain,73,38,73,69,63,8%,Newfoundland and Labrador,Inuit,1185
1101008,Lot 61,80,60,89,91,80,40%,Prince Edward Island,Non-Aboriginal,585
1101009,Lot 59,85,56,98,86,81,38%,Prince Edward Island,Non-Aboriginal,1170
1101011,Lot 66,,,,,72,35%,Prince Edward Island,Non-Aboriginal,215
1101018,Montague,75,46,92,86,75,43%,Prince Edward Island,Non-Aboriginal,1775
1101021,Cardigan,74,66,87,83,78,50%,Prince Edward Island,Non-Aboriginal,330
1101024,Georgetown,78,38,97,79,73,42%,Prince Edward Island,Non-Aboriginal,585
1101026,Lot 54,,,,,74,45%,Prince Edward Island,Non-Aboriginal,390
1101029,Lot 56,75,49,93,84,75,34%,Prince Edward Island,Non-Aboriginal,415
1101031,Lot 43,97,53,99,86,83,50%,Prince Edward Island,Non-Aboriginal,745
1101032,Lot 44,,,,,83,50%,Prince Edward Island,Non-Aboriginal,795
1101036,Souris,73,51,98,84,76,47%,Prince Edward Island,Non-Aboriginal,1085
1101041,Lot 42,,,,,76,38%,Prince Edward Island,Non-Aboriginal,270
1101042,Lot 41,88,61,95,88,83,25%,Prince Edward Island,Non-Aboriginal,445
1101044,St. Peters Bay,,,,,79,33%,Prince Edward Island,Non-Aboriginal,250
1101046,Lot 40,77,63,96,86,81,40%,Prince Edward Island,Non-Aboriginal,415
1101048,Morell,,,,,75,43%,Prince Edward Island,Non-Aboriginal,315
1101049,Lot 39,80,62,98,88,82,26%,Prince Edward Island,Non-Aboriginal,590
1101051,Lot 38,78,63,97,72,78,34%,Prince Edward Island,Non-Aboriginal,520
1102001,Lot 62,75,48,86,87,74,48%,Prince Edward Island,Non-Aboriginal,525
1102004,Lot 60,85,67,88,96,84,47%,Prince Edward Island,Non-Aboriginal,305
1102006,Lot 58,81,58,94,79,78,49%,Prince Edward Island,Non-Aboriginal,490
1102009,Lot 50,84,60,97,92,83,50%,Prince Edward Island,Non-Aboriginal,840
1102012,Lot 49,80,68,94,87,82,39%,Prince Edward Island,Non-Aboriginal,1020
1102026,Lot 31,87,67,92,89,84,41%,Prince Edward Island,Non-Aboriginal,1575
1102028,Lot 65,85,70,96,87,85,41%,Prince Edward Island,Non-Aboriginal,2190
1102029,Lot 30,81,65,95,88,82,27%,Prince Edward Island,Non-Aboriginal,855
1102031,Lot 29,88,62,96,83,82,41%,Prince Edward Island,Non-Aboriginal,895
1102032,Victoria,,,,,75,27%,Prince Edward Island,Non-Aboriginal,70
1102033,Meadowbank,,,,,91,27%,Prince Edward Island,Non-Aboriginal,335
1102034,Crapaud,86,64,95,81,82,41%,Prince Edward Island,Non-Aboriginal,290
1102036,Lot 67,78,57,98,86,80,41%,Prince Edward Island,Non-Aboriginal,830
1102037,Clyde River,78,64,87,89,80,40%,Prince Edward Island,Non-Aboriginal,555
1102038,Lot 20,94,66,94,94,87,37%,Prince Edward Island,Non-Aboriginal,785
1102039,Lot 21,92,50,93,72,77,42%,Prince Edward Island,Non-Aboriginal,885
1102040,Miltonvale Park,87,64,98,88,84,43%,Prince Edward Island,Non-Aboriginal,1135
1102041,Lot 22,88,61,89,84,80,48%,Prince Edward Island,Non-Aboriginal,660
1102042,Lot 23,84,69,92,86,83,46%,Prince Edward Island,Non-Aboriginal,1040
1102043,Hunter River,76,59,87,88,78,43%,Prince Edward Island,Non-Aboriginal,295
1102045,Resort Mun. Stan.B.-Hope R.-Bayv.-Cavend.-N.Rust.,,,,,89,15%,Prince Edward Island,Non-Aboriginal,145
1102048,Brackley,91,63,97,92,86,42%,Prince Edward Island,Non-Aboriginal,335
1102050,Union Road,,,,,82,35%,Prince Edward Island,Non-Aboriginal,95
1102051,Breadalbane,,,,,74,39%,Prince Edward Island,Non-Aboriginal,145
1102057,Scotchfort 4,,,,,66,43%,Prince Edward Island,First Nation,145
1102058,Lot 37,78,50,96,89,78,39%,Prince Edward Island,Non-Aboriginal,580
1102059,Mount Stewart,,,,,85,34%,Prince Edward Island,Non-Aboriginal,225
1102065,Winsloe South,,,,,84,16%,Prince Edward Island,Non-Aboriginal,220
1102075,Charlottetown,87,68,96,87,84,24%,Prince Edward Island,Non-Aboriginal,33315
1102080,Stratford,93,71,99,90,88,21%,Prince Edward Island,Non-Aboriginal,8495
1102085,Cornwall,84,69,97,87,84,48%,Prince Edward Island,Non-Aboriginal,5135
1103001,Lot 28,77,57,92,81,77,23%,Prince Edward Island,Non-Aboriginal,920
1103005,Borden-Carleton,76,50,90,86,75,29%,Prince Edward Island,Non-Aboriginal,705
1103006,Lot 27,82,54,93,90,80,31%,Prince Edward Island,Non-Aboriginal,805
1103008,Kinkora,83,58,95,88,81,31%,Prince Edward Island,Non-Aboriginal,340
1103009,Lot 26,89,62,96,86,83,42%,Prince Edward Island,Non-Aboriginal,1020
1103010,Central Bedeque,,,,,86,36%,Prince Edward Island,Non-Aboriginal,125
1103011,Lot 25,84,58,97,86,81,42%,Prince Edward Island,Non-Aboriginal,1210
1103013,Bedeque,,,,,80,6%,Prince Edward Island,Non-Aboriginal,140
1103014,Kensington,81,53,97,85,79,49%,Prince Edward Island,Non-Aboriginal,1420
1103016,Lot 18,89,57,98,83,82,48%,Prince Edward Island,Non-Aboriginal,1050
1103018,Sherbrooke,,,,,90,0%,Prince Edward Island,Non-Aboriginal,65
1103019,Lot 17,81,63,97,90,82,42%,Prince Edward Island,Non-Aboriginal,545
1103023,Linkletter,86,44,98,83,78,39%,Prince Edward Island,Non-Aboriginal,315
